Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
if (data.equals(usernameFromObjectRepository)),Chrome 121.0.0.0,,,12-02-2024 11:41:18,12-02-2024 11:41:18,0.001s,PASSED
else,Chrome 121.0.0.0,,,12-02-2024 11:41:18,12-02-2024 11:41:18,0.023s,PASSED
Video,Chrome 121.0.0.0,,,12-02-2024 11:41:20,12-02-2024 11:41:20,0.002s,PASSED
,,,,,,,
Test Cases/6_user/2_login,Chrome 121.0.0.0,,,12-02-2024 11:41:20,12-02-2024 11:41:41,21.318s,PASSED
ruslan.initial.openBrowser(),Chrome 121.0.0.0,,,12-02-2024 11:41:20,12-02-2024 11:41:28,7.507s,PASSED
"click(findTestObject(""6_user/Page_Advantage Shopping/1_profile""))",Chrome 121.0.0.0,,,12-02-2024 11:41:28,12-02-2024 11:41:33,5.302s,PASSED
"setText(findTestObject(""Object Repository/6_user/Page_Advantage Shopping/19_username_login_field""), username)",Chrome 121.0.0.0,,,12-02-2024 11:41:33,12-02-2024 11:41:34,1.668s,PASSED
"setText(findTestObject(""Object Repository/6_user/Page_Advantage Shopping/20_password_login_field""), password)",Chrome 121.0.0.0,,,12-02-2024 11:41:34,12-02-2024 11:41:37,2.379s,PASSED
"click(findTestObject(""Object Repository/6_user/Page_Advantage Shopping/17_sign_in""))",Chrome 121.0.0.0,,,12-02-2024 11:41:37,12-02-2024 11:41:38,0.714s,PASSED
"data = findTestData(""2_login"").getValue(1, 1)",Chrome 121.0.0.0,,,12-02-2024 11:41:38,12-02-2024 11:41:38,0.268s,PASSED
"to = findTestObject(""Object Repository/6_user/Page_Advantage Shopping/19_username_login_field"")",Chrome 121.0.0.0,,,12-02-2024 11:41:38,12-02-2024 11:41:38,0.173s,PASSED
usernameFromObjectRepository = getText(to),Chrome 121.0.0.0,,,12-02-2024 11:41:38,12-02-2024 11:41:39,0.871s,PASSED
if (data.equals(usernameFromObjectRepository)),Chrome 121.0.0.0,,,12-02-2024 11:41:39,12-02-2024 11:41:39,0.008s,PASSED
else,Chrome 121.0.0.0,,,12-02-2024 11:41:39,12-02-2024 11:41:39,0.044s,PASSED
Video,Chrome 121.0.0.0,,,12-02-2024 11:41:41,12-02-2024 11:41:41,0.002s,PASSED
